[ 2025-09-06 14:54:48,899 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-06 14:54:50,570 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-06 14:54:50,571 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-06 14:54:50,571 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-06 14:54:50,594 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-06 14:54:50,594 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-06 14:54:50,597 ] 26 root - INFO - Initiate the data Validation
[ 2025-09-06 14:54:50,604 ] 32 root - INFO - Required number of columns:2
[ 2025-09-06 14:54:50,604 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-06 14:54:50,604 ] 32 root - INFO - Required number of columns:2
[ 2025-09-06 14:54:50,604 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-06 14:54:50,676 ] 28 root - INFO - data Validation Completed
[ 2025-09-06 14:54:50,676 ] 32 root - INFO - data Transformation started
[ 2025-09-06 14:54:50,676 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-06 14:54:50,676 ] 65 root - INFO - Starting data transformation
[ 2025-09-06 14:54:50,684 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-06 14:54:50,684 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-06 14:54:50,687 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-06 14:54:50,688 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-06 14:54:50,688 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-06 14:54:50,688 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-06 14:54:50,688 ] 36 root - INFO - data Transformation completed
[ 2025-09-06 14:54:50,688 ] 38 root - INFO - Model Training sstared
